time_sec,z,phi,theta,z_dot,phi_dot,theta_dot,cmd_force_z,cmd_torque_x,cmd_torque_y
0.03792071342468262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04168820381164551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05177807807922363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06188082695007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07185649871826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08186960220336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09187602996826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10181283950805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11184215545654297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12176752090454102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1317424774169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14174866676330566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15171527862548828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16192865371704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17181110382080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181748628616333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19180703163146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20171236991882324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21176362037658691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2216966152191162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23174500465393066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24184751510620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2518904209136963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2618534564971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27190136909484863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28179311752319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2918586730957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3018379211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31183528900146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32187724113464355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33193230628967285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3418397903442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3518850803375244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36182188987731934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37177085876464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38196325302124023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.391742467880249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4017961025238037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4118154048919678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4218173027038574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43178272247314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4418625831604004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4517555236816406,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.4617626667022705,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.47172045707702637,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.48174571990966797,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.49176716804504395,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.501711368560791,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5142958164215088,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.52168869972229,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5317223072052002,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5417685508728027,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5516948699951172,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5618226528167725,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5717642307281494,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.581812858581543,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.5918030738830566,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6017634868621826,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6117992401123047,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6218316555023193,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6317150592803955,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6418848037719727,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6518285274505615,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6617224216461182,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6718719005584717,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6817917823791504,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.6916775703430176,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7017371654510498,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7117130756378174,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7217035293579102,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7317705154418945,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7418367862701416,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7516927719116211,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7617015838623047,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7716970443725586,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7818241119384766,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.7916886806488037,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8017921447753906,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.811943531036377,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8218173980712891,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8318250179290771,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8418457508087158,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8517563343048096,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8619265556335449,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8718991279602051,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8817753791809082,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.8918015956878662,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9018499851226807,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9118056297302246,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9217398166656494,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9318444728851318,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9417479038238525,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9518311023712158,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
0.9618003368377686,0.0,0.0,0.0,0.0,0.0,0.0,417.72210652966055,-3.408007323812967e-05,3.170780837535858e-05
