time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.0,0.2,0.3,-0.2,0.0,0.0,0.0,-300.0,-300.0,-300.0,300.0
0.01,0.19719125,0.29489040187392,-0.1951529235839844,-0.54335,-0.9960548688986113,0.9395994186401367,-233.41246152101797,7.832394170553897,-135.00348979555395,106.24136589601794
0.02,0.19081701270314455,0.2814562697184208,-0.18471657633545005,-0.7248950764453994,-1.6725656078199846,1.1405566249313883,-12.27470022906168,4.240049701229216,-35.995134114338796,-19.480384184047903
0.03,0.18355809682149468,0.26519702451600186,-0.17426609802655663,-0.7262362675102784,-1.580598778709367,0.9545475249369125,53.08340099886608,-21.18798360653752,18.71700064652725,-55.55438395887636
0.04,0.17653250273695748,0.2512000191132355,-0.16568979210591572,-0.6798459736619265,-1.2269712312349257,0.7659500891133806,19.532179956409998,-15.522466399191725,14.155766344533642,-20.89888001106808
0.05,0.16995207141020055,0.2399081532723966,-0.1584249351303541,-0.6371184867037998,-1.0355847353372334,0.6888669419870018,-19.138093738579286,-0.5291407512468869,-5.471172956866425,13.137780030465974
0.06,0.16373782356630404,0.22959380971003848,-0.1515986987524937,-0.6062436431443641,-1.026846661688766,0.6762410027874869,-27.50449709111814,2.793079536354753,-11.815601383864959,18.481975243607934
0.07,0.1577941388639799,0.21920148650816781,-0.14487284136508638,-0.5827806906614938,-1.0503490726724216,0.6686415382741524,-18.22977493495254,-2.735092368564368,-7.186720385362873,8.307962181025301
0.08,0.15206982634326213,0.20883551338706874,-0.13829928187652668,-0.562288241754244,-1.0228850273880736,0.6462565616990306,-10.334466372816436,-7.007975992645342,-2.7498636938955627,0.5766266862755318
0.09,0.14654576782497025,0.19892792430433617,-0.13199495898614033,-0.5427158755547914,-0.959619543427451,0.6150904143488409,-9.285174141455677,-6.7592392028473185,-2.554164909961081,-0.028229971352721872
0.1,0.14121535066577154,0.18963667462362893,-0.12600102665172006,-0.523562165906016,-0.8995741094577825,0.584194311590147,-11.170698972995242,-4.73181816299812,-4.162810443273617,2.276070366723505
0.11,0.13607413013793038,0.1808591305211432,-0.12029773605881823,-0.5048767152866861,-0.8564768441272674,0.5568728521775207,-12.075784828329917,-3.653157734326723,-4.898203193111644,3.524423900891551
0.12,0.13111683380898997,0.17246668596770345,-0.11485345169308907,-0.4867732492053417,-0.8223489329969025,0.5323264239392086,-11.447964166896854,-3.7806123598134436,-4.47711562810797,3.1902361789754425
0.13,0.12633737357202135,0.16441719966013393,-0.10964784784710689,-0.46930319168721163,-0.787915030168649,0.5091136686802752,-10.431614283933884,-4.149403464769346,-3.837935272263909,2.4442755469006303
0.14,0.12172941578784567,0.1567224588805028,-0.10467075059437606,-0.4524659438416265,-0.7514740317906644,0.4866204678457407,-9.79861527986182,-4.168240699976465,-3.5595662805986734,2.070808299286682
0.15,0.11728674370353176,0.14938925834198302,-0.09991476936996214,-0.4362394542780209,-0.7156152368238128,0.4648840792502212,-9.513507355756811,-3.9177591347730822,-3.558161629884079,2.03758659109965
0.16,0.11300337987088538,0.14240215881411739,-0.09537147970915542,-0.42059805438044906,-0.6822130383737195,0.4440699287333939,-9.274369208731354,-3.6709687819675207,-3.560796131666986,2.042604295096847
0.17,0.10887359262157822,0.13573712810403854,-0.09103139436728597,-0.40551820611486744,-0.6511618481638143,0.42422865912976293,-8.943793522071356,-3.535125333171298,-3.460703710947509,1.947964477952549
0.18,0.10489187303945183,0.12937487665770697,-0.0868850356436866,-0.3909788334006263,-0.6216374550527832,0.4053108542330375,-8.56457391067893,-3.458379138100313,-3.3098679399307396,1.7963268326478778
0.19,0.1010529149192583,0.1233023462808296,-0.08292353194647822,-0.37696043445552124,-0.5932081350841037,0.3872454346554011,-8.208119517607038,-3.3724970133446495,-3.1763549502743085,1.6592675539880797
