time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.938021001230814,3.4338271543350336,3.6995755239067702,3.1953816770109897
0.01,5.565540214586574e-05,7.667345045475439e-06,-3.5023134837665528e-06,0.010766484292285234,0.0014946569525870932,-0.0006789188844577018,-0.8609456086719025,-0.659673009137519,-0.787395274356063,-0.5861226748216796
0.02,0.00014173447372026388,1.8438930471383165e-05,-8.600092990533777e-06,0.006582025741409141,0.00067985947655304,-0.00035052558074152184,-1.3483631537531928,-1.056008538594073,-1.2378014194240774,-0.9454468042649575
0.03,0.00018311195813433588,2.0257557662954863e-05,-1.0150934356774392e-05,0.0018482688236045649,-0.0002913504927972747,2.860141686436519e-05,-0.6648674060094306,-0.5940508017457075,-0.6236885176574285,-0.5528719133937052
0.04,0.00018992007248082684,1.644462995100353e-05,-9.263134445705754e-06,-0.0004116618577497018,-0.00046650003561109167,0.00014523506502004877,-0.13860144324387028,-0.21332959331444246,-0.14707854878189888,-0.22180669885247106
0.05,0.00018293566527905722,1.3229410939421172e-05,-8.04396294796069e-06,-0.0009660997255299847,-0.00018359091380785623,9.99232472849191e-05,0.0357068553555599,-0.028089332588428644,0.019387168567731664,-0.04440901937625688
0.06,0.00017369074838086498,1.2474658102720762e-05,-7.3555183215893155e-06,-0.0008848276556806171,2.7282313406549764e-05,3.960151204987616e-05,0.03328937204896829,0.030069194092467114,0.026899455821403292,0.023679277864902114
0.07,0.0001657158258483838,1.2753604040043757e-05,-7.072348363108876e-06,-0.0007151621940141336,2.8458824619368446e-05,1.7696537331726803e-05,0.004347983613216725,0.027326928431479415,0.00578392695917153,0.028762871777434224
0.08,0.00015910989126121023,1.2644526370370465e-05,-6.874437275609841e-06,-0.0006090208217865361,-4.8299415305749344e-05,2.174339143165726e-05,-0.00534201044123172,0.007807899944013672,-0.0023953635445100527,0.01075454684073534
0.09,0.000153264512673382,1.1974038325532639e-05,-6.617900880054497e-06,-0.0005611659728428685,-8.481890573984065e-05,2.930683640852003e-05,-0.0038187776335784343,-0.005534752909540232,-0.0022978643430982743,-0.004013839619060072
0.1,0.0001477628416684798,1.1192528365963053e-05,-6.3139584549690915e-06,-0.0005394346901578083,-7.176758989467794e-05,3.139249264497341e-05,-0.0029040546161264585,-0.008365469879615497,-0.0026320473621054357,-0.008093462625594475
0.11,0.00014244615007293242,1.0590308096204682e-05,-6.0100267795200315e-06,-0.0005239758600911305,-4.9216033475005446e-05,2.943146315964394e-05,-0.004311250063461439,-0.006036579476307945,-0.004339954478772811,-0.006065283891619318
0.12,0.000137286740410614,1.0141287056600793e-05,-5.729049080964274e-06,-0.0005080084579476868,-4.077577735501153e-05,2.6823755205556183e-05,-0.005459895644076112,-0.0039101822981550466,-0.005307633695536711,-0.0037579203496156447
0.13,0.00013229304553820837,9.72147110654771e-06,-5.469791906864766e-06,-0.0004908853949999682,-4.310088280157499e-05,2.5062540992537496e-05,-0.005262217058979679,-0.00350107049241325,-0.004932066899461358,-0.0031709203328949298
0.14,0.00012747222476491542,9.277666414618589e-06,-5.224539983886791e-06,-0.0004734582596085264,-4.556833799507803e-05,2.4001855985973074e-05,-0.0044889957170038556,-0.003876525020740613,-0.004121380188040906,-0.003508909491777663
0.15,0.00012282390067658915,8.829281408214164e-06,-4.988942292917348e-06,-0.00045638853345296725,-4.4117120053797e-05,2.3126640612243355e-05,-0.003997003510763097,-0.004054003633507836,-0.003669406561452503,-0.003726406684197243
0.16,0.00011834317879991491,8.40533931722836e-06,-4.7624257930256695e-06,-0.000439931353766906,-4.073093148503302e-05,2.2188306737161182e-05,-0.003903199584459671,-0.0038738010983979253,-0.0036181141005889447,-0.003588715614527199
0.17,0.00011402378423250679,8.012226307225086e-06,-4.545582181686929e-06,-0.000424115133484606,-3.7938068731034476e-05,2.1194556923461003e-05,-0.003920214789796245,-0.0036064729002332706,-0.003656242355114655,-0.003342500465551681
0.18,0.00010985951703990807,7.641379432992973e-06,-4.338580754551498e-06,-0.0004088987955262652,-3.625078681947847e-05,2.0220038605549028e-05,-0.0038495793633456688,-0.0034379668101482087,-0.003593595381356053,-0.003181982828158593
0.19,0.0001058445969311683,7.285351784712536e-06,-4.14103182833989e-06,-0.0003942395796328213,-3.496488308710516e-05,1.9302996762839726e-05,-0.0036972045271882704,-0.0033555925406840268,-0.003447648937019615,-0.0031060369505153712
0.2,0.00010197360703797222,6.942950831681593e-06,-3.952367979282423e-06,-0.0003801071756957881,-3.3530137546705016e-05,1.8441964687006084e-05,-0.0035403403827627264,-0.0032817228620399953,-0.0032997709145790866,-0.0030411533938563555
0.21,9.824138846919087e-05,6.6157281632416354e-06,-3.772096879907294e-06,-0.00036648002730721365,-3.1934328768717995e-05,1.7623762659919075e-05,-0.003415449776692439,-0.0031822686466430076,-0.0031854103657972224,-0.002952229235747791
0.22,9.464297900972062e-05,6.3042728618893664e-06,-3.5998324806479894e-06,-0.0003533402493775891,-3.0376696339852935e-05,1.684016785516297e-05,-0.0033117570282676103,-0.0030697706771776103,-0.0030920480980748764,-0.002850061746984876
0.23,9.117358985508469e-05,6.007681775551193e-06,-3.4352388939614693e-06,-0.0003406710237038769,-2.8958854844208166e-05,1.6089179692506203e-05,-0.0032101904602202195,-0.002963582790590833,-0.0029999412458113373,-0.002753333576181951
0.24,8.782859874767942e-05,5.724696394678348e-06,-3.2779893416702152e-06,-0.0003284558620111506,-2.7653542574130513e-05,1.5370911371693906e-05,-0.0031052571346246536,-0.0028686606192064343,-0.0029037377899308707,-0.0026671412745126514
0.25,8.460354665658503e-05,5.454471948983486e-06,-3.127758803998304e-06,-0.0003166786097302952,-2.640600478763862e-05,1.4684915706394468e-05,-0.0030013024303356165,-0.0027800540476182797,-0.002808069451524892,-0.0025868210688075547
0.26,8.149413376502543e-05,5.196531094534325e-06,-2.9842312575192396e-06,-0.0003053235763993435,-2.519663341444825e-05,1.4029868784321621e-05,-0.0029024274811927293,-0.002693267553460244,-0.0027171701093753656,-0.00250801018164288
0.27,7.849621445205669e-05,4.950448275216153e-06,-2.847105387365376e-06,-0.00029437560826466627,-2.403396080977931e-05,1.3404162850806202e-05,-0.0028088979073786382,-0.0026077965953471374,-0.0026313093265174408,-0.00243020801448594
0.28,7.560579186326686e-05,4.715707956627822e-06,-2.71609524912623e-06,-0.000283820099882488,-2.292742137936318e-05,1.280632844107155e-05,-0.0027191706057675584,-0.0025249848562525425,-0.002548919477226595,-0.0023547337277115784
0.29,7.281901251106591e-05,4.49175204547582e-06,-2.590928556884199e-06,-0.0002736429775437831,-2.1876348734124466e-05,1.2235098064054451e-05,-0.0026322613071435345,-0.0024456029156318636,-0.0024690124866238623,-0.002282354095112191
0.3,7.013216107351394e-05,4.2780563264953135e-06,-2.471345117178134e-06,-0.000263830676369948,-2.087477183181299e-05,1.1689318099664828e-05,-0.002548155673917014,-0.00236943834163955,-0.0023915895698254927,-0.002212872237548029
0.31,6.754165541405682e-05,4.074149843749775e-06,-2.3570960491900465e-06,-0.00025437011900087325,-1.991798092647972e-05,1.1167879140666019e-05,-0.0024671160144728627,-0.002296004536100766,-0.0023169329959852867,-0.00214582151761319
0.32,6.504404180116441e-05,3.879594742635235e-06,-2.247943421731907e-06,-0.00024524869685701,-1.9003997593598902e-05,1.0669700622679677e-05,-0.002389178583509751,-0.0022250516940417317,-0.002245095410170484,-0.0020809685207024645
0.33,6.263599030664997e-05,3.6939679453540574e-06,-2.14365991388382e-06,-0.00023645425309926728,-1.8131820785636295e-05,1.0193740675614571e-05,-0.002314165085307871,-0.0021565553666414027,-0.0021759111976587036,-0.0020183014789922353
0.34,6.0314290369640135e-05,3.5168587593432022e-06,-2.044028384579666e-06,-0.00022797506652163323,-1.729998715004113e-05,9.73900452115851e-06,-0.0022418791040709164,-0.0020905175494353744,-0.0021091951606549537,-0.0019578336060194113
0.35000000000000003,5.8075846518628024e-05,3.3478738151193077e-06,-1.948841399624256e-06,-0.00021979983603540948,-1.650650995276732e-05,9.30454483730827e-06,-0.0021722000192899954,-0.002026871179125855,-0.0020448377531547515,-0.0018995089129906116
0.36,5.591767424614097e-05,3.1866396804055505e-06,-1.8579007758121877e-06,-0.00021191766565791927,-1.5749390082244007e-05,8.889458100843191e-06,-0.0021050554174732784,-0.001965507358147648,-0.0019827776018953584,-0.0018432295425697275
0.37,5.383689603098942e-05,3.032801569143123e-06,-1.7710171609800663e-06,-0.0002043180500031385,-1.502689184834162e-05,8.492881057009183e-06,-0.0020403715113657133,-0.001906325003854166,-0.0019229516224404883,-0.001788905114928941
0.38,5.183073750305206e-05,2.886021006887381e-06,-1.6880096426971312e-06,-0.00019699086027880544,-1.4337484412205528e-05,8.113988483838451e-06,-0.0019780586234496027,-0.0018492453304612777,-0.0018652803170022387,-0.0017364670240139135
0.39,4.989652374556385e-05,2.7459744840359695e-06,-1.608705375460636e-06,-0.00018992633078350878,-1.3679704862224625e-05,7.751991704883058e-06,-0.001918022592244534,-0.0017942002336596983,-0.0018096791794171355,-0.0016858568208322998
0.4,4.803167572998079e-05,2.6123530298716155e-06,-1.5329392222440318e-06,-0.00018311504588911472,-1.305210879080006e-05,7.406137203852343e-06,-0.001860175885653347,-0.0017411209069538441,-0.0017560698760336125,-0.0016370148973341096
0.41000000000000003,4.623370687865636e-05,2.4848619031191882e-06,-1.4605534104493652e-06,-0.00017654792749105189,-1.2453294533614584e-05,7.0757051335723755e-06,-0.0018044387443919303,-0.001689936450145344,-0.001704381441422886,-0.0015898791471762993
0.42,4.4500219750739284e-05,2.3632200199679265e-06,-1.391397202970865e-06,-0.00017021622290901096,-1.1881931320216632e-05,6.760007787156366e-06,-0.0017507354409873924,-0.0016405773981382635,-0.001654546560572032,-0.001544388517722903
0.43,4.282890284687217e-05,2.2471592329061133e-06,-1.325326584253512e-06,-0.00016411149322149,-1.1336761613142801e-05,6.458388127195099e-06,-0.0016989918717537226,-0.0015929779359750837,-0.0016064991715406477,-0.0015004852357620088
0.44,4.1217527528432004e-05,2.1364236595058794e-06,-1.2622039606011119e-06,-0.00015822560201848924,-1.0816589148560152e-05,6.170218404962331e-06,-0.0016491356718542273,-0.001547075596499205,-0.001560174592014193,-0.0014581145166591707
0.45,3.96639450472067e-05,2.0307691168757557e-06,-1.2018978738942225e-06,-0.0001525507045573516,-1.0320269699058967e-05,5.8948988578388045e-06,-0.0016010970940908672,-0.0015028101970726959,-0.0015155104131105602,-0.0014172235160923887
0.46,3.8166083681549266e-05,1.929962613184511e-06,-1.1442827280275157e-06,-0.00014707923730731528,-9.846708723684922e-06,5.631856467106836e-06,-0.0015548093181769905,-0.0014601233506676661,-0.0014724468248957262,-0.001377760857386402
0.47000000000000003,3.672194597519272e-05,1.8337818497447057e-06,-1.0892385275064982e-06,-0.00014180390786885878,-9.394861541930633e-06,5.3805437676114015e-06,-0.0015102081884030255,-0.0014189585552513736,-0.001430926369465239,-0.001339676736313587
0.48,3.532960607504574e-05,1.7420147277416787e-06,-1.0366506276920874e-06,-0.00013671768525440805,-8.963732262871818e-06,5.1404377078610366e-06,-0.0014672318835939348,-0.001379261357821773,-0.0013908936250245766,-0.0013029230992524148
0.49,3.398720716442088e-05,1.6544588732965725e-06,-9.864094961888148e-07,-0.00013181379051745523,-8.552371228492086e-06,4.911038560496318e-06,-0.0014258207726765518,-0.0013409793392169449,-0.0013522950746396108,-0.0012674536411800036
0.5,3.269295898827422e-05,1.570921189046246e-06,-9.384104848793912e-07,-0.0001270856877175983,-8.15987227338896e-06,4.691868881845506e-06,-0.0013859173918827456,-0.0013040619831233978,-0.0013150790960358074,-0.0012332236872764596
0.51,3.144513546715832e-05,1.491217430281973e-06,-8.92553612126308e-07,-0.00012252707520945638,-7.785370540626591e-06,4.482472518291907e-06,-0.0013474664154608997,-0.0012684605571116332,-0.0012791959444341738,-0.0012001900860849073
0.52,3.0242072396708097e-05,0.0009518612518007317,-0.0004414920539015597,-0.00011813187724385567,0.1852706353704726,-0.0854138465536281,-17.1030771505496,7.8468027647845275,-7.849281490518464,17.100598424815665
0.53,2.908216522959377e-05,0.0032374832990616,-0.0015234702591430662,-0.00011389423587008426,0.2695465333186631,-0.12951538756916176,-42.17837659020455,19.01185463352804,-19.014266890760872,42.175964332971716
0.54,2.7963866936984403e-05,0.005748546174915111,-0.0028005693237235325,-0.00010980850312844298,0.23343097599563023,-0.12591708504744567,-49.1580238864632,20.810649488261678,-20.812997650998,49.15567572372688
0.55,2.6885685946672033e-05,0.007786960720537941,-0.003965971693356701,-0.00010586923352264533,0.17560382101220962,-0.10764452061203444,-43.9930571002911,16.712293051145608,-16.714579408292014,43.990770743144694
0.56,2.5846184155108266e-05,0.009426818915711491,-0.004977985796912814,-0.00010207117676207818,0.15284613989409948,-0.09507285137571031,-39.01229906066109,13.78485683533289,-13.787083593748525,39.01007230224546
0.5700000000000001,2.4843975010703657e-05,0.010973120646456563,-0.005903384920209817,-9.840927076423823e-05,0.1562283451215672,-0.09009054933959973,-38.410707807021275,13.987271842096114,-13.98944112953383,38.40853851958356
0.58,2.3877721665835392e-05,0.012554003348193538,-0.0067931585928032905,-9.487863490800441e-05,0.1597563780268171,-0.08786421296719504,-39.92524766821383,15.321205884964979,-15.323319752907068,39.92313380027174
0.59,2.29461351951004e-05,0.014121367387417469,-0.007658033583794966,-9.147456352873062e-05,0.15376942724422202,-0.08512871516206882,-40.925618305723205,15.950899588276561,-15.952960014668845,40.92355787933093
0.6,2.2047972877439007e-05,0.01560562006768497,-0.0084906338880946,-8.8192519646589e-05,0.14325549916157887,-0.081441616607074,-40.914911176655394,15.748892106310283,-15.750900998198183,40.9129022847675
0.61,2.1182036539839488e-05,0.016992998968432045,-0.009284995056262702,-8.50281289196765e-05,0.13435940431998777,-0.0774921051743537,-40.593496681418536,15.393306363825634,-15.395265559895751,40.591537485348425
0.62,2.0347170960416285e-05,0.01830572877615576,-0.010041118380230259,-8.197717381390327e-05,0.12825879552058578,-0.07378931460328175,-40.48472922675004,15.288199833049887,-15.29011110608047,40.48281795371946
0.63,1.9542262328733308e-05,0.01956280000224991,-0.010761891755058981,-7.903558798187618e-05,0.12320443281154733,-0.07041460696118344,-40.59033440975128,15.37469589192857,-15.376560951152138,40.58846935052771
0.64,1.876623676132035e-05,0.020767832817096998,-0.011450047891662887,-7.619945084327655e-05,0.11786183965143641,-0.06726148095306292,-40.72023564130333,15.46310529326951,-15.464925786650799,40.718415147922045
0.65,1.8018058870404058e-05,0.02191785347453196,-0.012107348806879003,-7.346498235953089e-05,0.11221337077700849,-0.06424179978975202,-40.781299506216754,15.477961973268243,-15.479739489700467,40.77952198978454
0.66,1.7296730383945797e-05,0.023012294106461953,-0.01273500909675226,-7.082853799577862e-05,0.10674478635391597,-0.06133222885330055,-40.798352845546475,15.453841470043336,-15.455577541465743,40.79661677412407
0.67,1.66012888151472e-05,0.02405418457607577,-0.013334171262474598,-6.828660386347466e-05,0.10169594625101414,-0.058540709613115895,-40.81808769295909,15.437749517103622,-15.439445620543129,40.81639158951958
0.68,1.5930806179650284e-05,0.02504734638128806,-0.013906052251760625,-6.583579203703647e-05,0.09699330203586944,-0.05587421443144411,-40.85411878333477,15.440608664693496,-15.442266224233137,40.85246122379513
0.6900000000000001,1.5284387758722437e-05,0.025994539558908493,-0.0144518903142976,-6.347283603845844e-05,0.09249980599213263,-0.0533303238997551,-40.895714118986575,15.450035698495023,-15.451656087171843,40.894093730309756
0.7000000000000001,1.4661170906777465e-05,0.026897601028503894,-0.014972874673761405,-6.11945864837751e-05,0.08816570353115717,-0.05090180681132895,-40.93256713163991,15.455527822853009,-15.45711236448791,40.93098259000501
0.71,1.4060323901643839e-05,0.027758219886689008,-0.01547012316532251,-5.8998006885528924e-05,0.084009445460329,-0.04858161648469473,-40.963711531300035,15.456440598096265,-15.457990569058268,40.96216156033803
0.72,1.3481044836047562e-05,0.028578277568799885,-0.015944691683797547,-5.6880169605777466e-05,0.08005099754310115,-0.046364364435469485,-40.99261762470205,15.45643862895744,-15.457955259864697,40.99110099379479
0.73,1.2922560548832184e-05,0.029359728536144304,-0.016397587554916226,-5.483825195413708e-05,0.07628562773729486,-0.04424569672576005,-41.02142024198991,15.457631682023747,-15.459116159383585,41.01993576463007
0.74,1.238412559449165e-05,0.030104415298072944,-0.016829775846376304,-5.286953242570583e-05,0.07269600781641755,-0.04222151111306988,-41.0499148185995,15.459705681991755,-15.461159149781922,41.04846135080933
0.75,1.1865021249642388e-05,0.030814024361636685,-0.017242180513864856,-5.097138707386225e-05,0.06926818890885332,-0.040287691105561206,-41.07724032223762,15.461707813911863,-15.463131375105087,41.0758167610444
0.76,1.1364554555110611e-05,0.031490137518681134,-0.017635684622221814,-4.9141286013061836e-05,0.06599500954214506,-0.03844017646730527,-41.10309384431228,15.463279411109653,-15.46467412914356,41.101699126278376
0.77,1.0882057392358058e-05,0.032134277391987306,-0.018011131477248477,-4.7376790047029495e-05,0.06287173885304673,-0.0366750735237965,-41.12769694824507,15.464602978722649,-15.46596987891698,41.12633004805074
0.78,1.0416885593015336e-05,0.03274791385478311,-0.0183693264762002,-4.567554741778082e-05,0.05989258829364312,-0.03498869087385098,-41.15131868490231,15.465909003960153,-15.467249074883185,41.14997861397928
0.79,9.96841808033594e-06,0.03333245287689729,-0.01871103904155859,-4.403529067122862e-05,0.05705059981347089,-0.033377521990950274,-41.17405072516516,15.467247507347547,-15.468561702133524,41.17273653037918
