time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-76.07277791366151,-8.604362782569218,-41.16020674270288,26.308208388389417
0.01,-0.009657686315426552,-0.0010260014509625498,0.0005127996980158199,-0.9324067729239337,-0.20000667675058695,0.09940555022868218,144.40345122055152,117.47027188187775,133.6344011623703,106.70122182369653
0.02,-0.017219218090445892,-0.0024673950768656977,0.0012592034119432499,-0.586445609211949,-0.09097501224438574,0.05132305054479639,130.79019123833493,91.66892337184423,114.6020275462881,75.48075967979742
0.03,-0.02172680241359745,-0.0027107536483458737,0.0014862736008240465,-0.3201751104340333,0.0389869017992162,-0.004187745614106904,74.9731514019442,65.49686746064735,68.94384488514882,59.46756094385198
0.04,-0.024065125736416747,-0.002200528878014724,0.0013562842299682837,-0.15076333407700787,0.06242443904275638,-0.021264943252165314,35.6593210400745,45.659026276425976,36.9005169467511,46.900222183102564
0.05,-0.025053736220321598,-0.0017702861601664463,0.0011777762869269297,-0.04894715614148351,0.024567114540065833,-0.014630503885494653,19.44576115215237,27.98261204489229,21.835247557438684,30.3720984501786
0.06,-0.025239273483556975,-0.001669289335192502,0.0010769760021608194,0.010656018159782524,-0.003650767374458179,-0.005798351151110166,14.286342326380154,14.71724862264467,15.22193736292662,15.652843659191136
0.07,-0.0249586781003924,-0.0017066163284001955,0.001035514987928662,0.04476628892197519,-0.003808201558555347,-0.002591081307169489,10.651457716921906,7.57654318193061,10.441210599527507,7.366296064536211
0.08,-0.024414496361815346,-0.0016920201615799153,0.0010065373574641436,0.06366456792436939,0.006463159006204413,-0.0031836112363083937,6.543604337539471,4.783956499171879,6.11216390657808,4.3525160682104875
0.09,-0.023727321735716383,-0.0016022991821826728,0.0009689759607529131,0.07353833709803857,0.011349994012527963,-0.004291031322509064,3.3195265932266462,3.549148856540799,3.096838395930352,3.3264606592445047
0.1,-0.022968561562707324,-0.0014977218679096905,0.0009244734955908365,0.07808472316843439,0.009603539546909613,-0.004596407723900725,1.7090415427373529,2.439857744618782,1.6692149428722605,2.4000311447536897
0.11,-0.022180263824921824,-0.001417136102314628,0.0008799726043627603,0.07950690337325775,0.006585815749321865,-0.004309278849647127,1.179174576981439,1.4100485588447595,1.1833774033622333,1.4142513852255538
0.12,-0.021386989744772773,-0.0013570506052600557,0.0008388325751687955,0.0791160312429797,0.005456387639037511,-0.003927464983593218,0.9580523180978079,0.7506783011387984,0.9357585167027548,0.7283844997437452
0.13,-0.020602898426234886,-0.0013008731707847593,0.0008008728090876378,0.07769149960759951,0.0057675203124291545,-0.0036695925456280525,0.7131112784244835,0.47744444434595623,0.6647715444499015,0.42910471037137426
0.14,-0.019835969226724537,-0.0012414856963509633,0.0007649636557169204,0.0756958965638442,0.006097701436886723,-0.003514289785444745,0.47502024343094035,0.3930628227969297,0.4211949267904113,0.3392375061564007
0.15,-0.019090517002401285,-0.001181485309720096,0.0007304680500715841,0.0734031273833343,0.005903507526923604,-0.0033861430100553757,0.3278068118538954,0.33543425111667463,0.27984091232604646,0.2874683515888257
0.16,-0.018368689983079424,-0.0011247557380240616,0.0006973020889780237,0.0709747522340684,0.005450386614250609,-0.0032487545866574014,0.2694690182428582,0.2655350764185951,0.2277275377285608,0.22379359590429768
0.17,-0.017671361508678488,-0.0010721515424044026,0.0006655524072529089,0.06850546349132877,0.005076661260696485,-0.0031032523045999173,0.24893339990424565,0.20695020598116987,0.21028323754252562,0.16830004361944984
0.18,-0.016998660675697913,-0.0010225268771792992,0.0006352437927282794,0.06605017636265648,0.004850878583750059,-0.0029605658485038406,0.23064159584348728,0.17556189428966096,0.1931610821003283,0.13808138054650199
0.19,-0.016350287889426846,-0.0009748852383131743,0.0006063191889844375,0.06364016559526764,0.004678806101373424,-0.002826294949514108,0.20948920111524105,0.1637765858956632,0.17294991590567732,0.12723730068609948
0.2,-0.015725702298174025,-0.0009290670479830008,0.0005786955152980017,0.061292676563928714,0.004486816436439632,-0.002700224855984224,0.19225697759663868,0.15765021998600318,0.15703341716774039,0.12242665955710488
0.21,-0.015124232923901778,-0.0008852799312410261,0.0005523006863516422,0.059016648891703126,0.004273274185248057,-0.0025804258276131468,0.18178329091510273,0.15058028956994013,0.1481015142878617,0.11689851294269908
0.22,-0.01454514435614394,-0.0008436027158291572,0.0005270781777645336,0.05681612424994338,0.004064840480673228,-0.002465693899386789,0.1754682262413376,0.14308695921097447,0.14329901192730563,0.1109177448969425
0.23,-0.013987675396907527,-0.0008039145469622694,0.0005029788097498188,0.05469227461949109,0.0038751128209502726,-0.0023557361515127487,0.17009243797557072,0.13709277181243631,0.13930829082350266,0.10630862466036825
0.24,-0.013451061610007194,-0.0007660470178952082,0.00047995473629042175,0.052644608785166254,0.003700443196051995,-0.0022505691584054537,0.16452904316046404,0.13286901394930833,0.13502310099329265,0.10336307178213694
0.25,-0.012934548299474928,-0.000729887086168634,0.00045795836882988824,0.05067168934436565,0.0035335046310754977,-0.0021501274441967687,0.1591284445620187,0.1295222170680486,0.13083577069369484,0.10122954319972474
0.26,-0.012437397803325603,-0.0006953708762735897,0.00043694343603402043,0.048771558177963144,0.0033716732831595595,-0.0020542171650678167,0.15430503694124428,0.12631641923016268,0.12718013085745736,0.09919151314637575
0.27,-0.011958893417224111,-0.0006624414426587048,0.0004168658201578327,0.04694198830537669,0.003216090904603552,-0.0019626029177308418,0.15001834099997763,0.12310808240185445,0.12401627948869808,0.0971060208905749
