time,z,phi,theta,z_dot,phi_dot,theta_dot,u1_fl,u2_fr,u3_rl,u4_rr
0.28,6.636739938476195e-07,-1.2177602289934919e-06,6.988124097876127e-07,2.1560137855867987e-06,-4.347353607638104e-06,2.319751156313235e-06,-0.00023664907,0.00043547666,0.00033749267,0.00031066174
0.29,6.849491954941395e-07,-1.2607179974202446e-06,7.217085280492265e-07,2.0991486026214713e-06,-4.2440930937846845e-06,2.259563997843977e-06,-0.00023665186,0.00043547666,0.00033748895,0.00031066267
0.3,7.05659616453633e-07,-1.302640835334513e-06,7.440058199279008e-07,2.0430783011498875e-06,-4.140443830637658e-06,2.2000128757345198e-06,-0.00023665,0.0004354776,0.00033749267,0.00031066267
0.31,7.258138242108889e-07,-1.3435269379422523e-06,7.65711406704672e-07,1.987921919081772e-06,-4.036812058396456e-06,2.1412448095973066e-06,-0.0002366472,0.00043547712,0.00033749267,0.00031066267
0.32,7.45421380605155e-07,-1.3833783697927186e-06,7.868337027272291e-07,1.933760477228171e-06,-3.933566128818212e-06,2.08337237102841e-06,-0.00023664907,0.00043547666,0.00033749267,0.00031066174
0.33,7.644925533562679e-07,-1.4222006217461106e-06,8.073821807721424e-07,1.8806547487826847e-06,-3.831024024033543e-06,2.026495002583869e-06,-0.00023665,0.0004354776,0.00033749267,0.0003106664
0.34,7.830381891834535e-07,-1.460002138101701e-06,8.273671953732497e-07,1.8286598994803683e-06,-3.7294593968821053e-06,1.9706902306658987e-06,-0.00023665,0.00043547852,0.00033749267,0.00031066546
0.35000000000000003,8.010695599423075e-07,-1.4967937872439733e-06,8.467997127981802e-07,1.777806575056087e-06,-3.629084822074831e-06,1.9160038226537193e-06,-0.00023664907,0.00043547712,0.00033748522,0.00031066453
0.36,8.185981722788292e-07,-1.532588468431521e-06,8.656910955721584e-07,1.728111532545649e-06,-3.530094247076041e-06,1.8624696057049202e-06,-0.00023664813,0.00043547805,0.00033749267,0.00031066546
0.37,8.356357666490432e-07,-1.5674007407921706e-06,8.840531398676294e-07,1.6796043294260757e-06,-3.4326269923803945e-06,1.8101398697202827e-06,-0.00023664907,0.0004354776,0.00033749267,0.00031066174
0.38,8.521941892708125e-07,-1.6012465337576283e-06,9.018979213026586e-07,1.6322777801278407e-06,-3.336817827096603e-06,1.7590196717521605e-06,-0.00023664907,0.00043547805,0.00033749267,0.00031066546
